Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
409100.0,-269790.1153446854,63892.648753472124,-205897.46659121325
409200.0,-269354.46769662027,63618.78938417266,-205735.67831244762
409300.0,-269604.05625129724,64635.63518948595,-204968.4210618113
409400.0,-269702.10073126893,63843.30161543672,-205858.7991158322
409500.0,-269041.0776181149,64702.99796656272,-204338.07965155217
409600.0,-269173.8966484496,63936.87239942537,-205237.02424902422
409700.0,-269669.6068143243,63914.38978158719,-205755.2170327371
409800.0,-268986.71854408935,64624.98074039133,-204361.73780369802
409900.0,-269724.87297176244,64520.12731433366,-205204.74565742878
410000.0,-269100.09117343876,64216.90704163241,-204883.18413180637
410100.0,-269944.9838689823,64222.25518516333,-205722.72868381895
410200.0,-269500.6526962385,63961.426510664474,-205539.22618557402
410300.0,-269350.1723005092,64041.106890971154,-205309.06540953802
410400.0,-269515.518456292,64674.857970378405,-204840.66048591357
410500.0,-270065.9439511138,64375.36413453614,-205690.57981657767
410600.0,-270427.9832640311,64248.934781884804,-206179.04848214632
410700.0,-270113.0036119208,64381.426316658864,-205731.57729526196
410800.0,-269680.53849244275,64519.061752332156,-205161.4767401106
410900.0,-270250.18244878296,64074.079127270576,-206176.10332151238
411000.0,-269933.2235495234,64440.42351008735,-205492.80003943603
411100.0,-269839.3488982002,64382.106104118895,-205457.2427940813
411200.0,-271064.3230022084,64122.07136652755,-206942.25163568082
411300.0,-270176.265637676,64284.17418067221,-205892.0914570038
411400.0,-270356.517857473,64268.28238038739,-206088.2354770856
411500.0,-270472.21498123836,64398.2266703185,-206073.98831091984
411600.0,-270100.3981120897,64030.82992012556,-206069.56819196418
411700.0,-270034.28217289055,64529.87346538395,-205504.4087075066
411800.0,-270344.0560349475,64612.16043168824,-205731.89560325927
411900.0,-271249.42533312953,64381.73342990179,-206867.69190322774
412000.0,-270888.73947603686,64456.83416964265,-206431.9053063942
412100.0,-270156.4619328254,64564.26505598949,-205592.1968768359
412200.0,-270273.6421546053,63995.25091445202,-206278.3912401533
412300.0,-270093.9598064305,63894.50464096359,-206199.4551654669
412400.0,-270691.2701912363,64033.32009221079,-206657.9500990255
412500.0,-270586.7422047539,64139.82177110571,-206446.92043364822
412600.0,-270658.07311738265,64152.96666679453,-206505.10645058812
412700.0,-270680.4576371065,64735.45464028492,-205945.00299682154
412800.0,-270407.1130738609,64161.703178982614,-206245.40989487828
412900.0,-270206.3811282851,64165.013816860206,-206041.36731142487
413000.0,-270049.25812093075,63990.66296108811,-206058.59515984263
413100.0,-270373.05494533473,63867.934493564055,-206505.12045177066
413200.0,-270362.9692817785,64333.16208004656,-206029.80720173195
413300.0,-270136.3453196262,64266.50739152635,-205869.83792809985
413400.0,-270581.45104695833,64630.0271266261,-205951.42392033222
413500.0,-270267.0410032397,63725.68701811067,-206541.353985129
413600.0,-270069.7723300293,63472.24033728813,-206597.53199274116
413700.0,-270441.79925149446,64549.5009633547,-205892.29828813975
413800.0,-270307.98197857523,64236.68986165651,-206071.29211691872
413900.0,-270153.3047498388,64467.12107820355,-205686.18367163523
414000.0,-269706.68698206055,64394.959112348646,-205311.7278697119
414100.0,-269798.48598291096,64221.90642141205,-205576.57956149892
