Time [ps],Potential Energy [kJ/mol],Kinetic Energy [kJ/mol],Total Energy [kJ/mol]
415905.9,-653499.0053337883,64419.562705673095,-589079.4426281153
415906.0,-653366.3919754501,64271.662226420245,-589094.7297490299
415906.10000000003,-653162.0706638328,64317.572190949475,-588844.4984728834
415906.2,-653398.7140216096,63921.49955596513,-589477.2144656444
415906.30000000005,-653156.9674400502,63906.292544639895,-589250.6748954103
415906.4,-653356.5368507754,64173.5445908691,-589182.9922599063
415906.5,-653130.921778242,64015.47346895482,-589115.4483092872
415906.60000000003,-653409.690814242,64119.26645097228,-589290.4243632697
415906.7,-653120.5191873414,63881.714735376416,-589238.804451965
415906.80000000005,-653343.3444495085,64193.14490881449,-589150.199540694
415906.9,-653283.8272048347,64226.97921933526,-589056.8479854994
415907.0,-653397.5004524677,64396.258380959356,-589001.2420715083
415907.10000000003,-653760.8240785657,64443.83595272272,-589316.988125843
415907.2,-653455.8867399902,64444.9943556077,-589010.8923843825
415907.30000000005,-653322.5673056045,63608.07031367697,-589714.4969919275
415907.4,-652995.7132346217,64505.34697516178,-588490.3662594599
415907.5,-653705.8943176764,63900.4421679104,-589805.452149766
415907.60000000003,-653460.2315759008,63823.480430372314,-589636.7511455285
415907.7,-653619.6169583965,64449.21162238448,-589170.405336012
415907.80000000005,-653103.5176553508,64490.071849152315,-588613.4458061985
415907.9,-653564.226183292,63796.30411637784,-589767.9220669142
415908.0,-653622.4675518449,64089.41603415531,-589533.0515176896
415908.10000000003,-653570.0937587656,64028.29418986081,-589541.7995689048
415908.2,-654020.8019030029,64343.569406971736,-589677.2324960312
415908.30000000005,-653499.1307931473,64148.488389118764,-589350.6424040284
415908.4,-653281.1770586413,64518.87362279318,-588762.3034358481
415908.5,-653722.0747633333,64139.78689150436,-589582.287871829
415908.60000000003,-653527.7883030021,64295.97340369345,-589231.8148993087
415908.7,-653850.8057896422,64103.157013048214,-589747.648776594
415908.80000000005,-653537.6019591824,64130.29098754246,-589407.3109716399
415908.9,-653088.1725040495,64205.20761604601,-588882.9648880034
415909.0,-653388.222168355,64416.41755268449,-588971.8046156706
415909.10000000003,-653458.9012296256,64138.51758478175,-589320.3836448438
415909.2,-653735.4745803674,64195.61691925942,-589539.857661108
415909.30000000005,-653769.9163172651,63908.67657573923,-589861.2397415258
415909.4,-653898.3953668079,64264.28389765271,-589634.1114691552
415909.5,-653641.2729406923,64580.98907373031,-589060.283866962
415909.60000000003,-653712.7373010295,63917.93949669316,-589794.7978043363
415909.7,-653822.4852247203,63861.567075045015,-589960.9181496754
415909.80000000005,-654023.655619341,64272.885791626395,-589750.7698277145
415909.9,-653837.7251321878,64188.06573856276,-589649.6593936251
415910.0,-653742.6491777045,64387.311634616584,-589355.3375430879
415910.10000000003,-654031.6429398153,63995.18795281069,-590036.4549870046
415910.2,-653840.5267028637,64061.293496188846,-589779.2332066749
415910.30000000005,-653855.286820523,64210.31679046556,-589644.9700300575
415910.4,-653811.9231923516,64472.84281359118,-589339.0803787604
415910.5,-653622.5604803464,63850.09027500651,-589772.47020534
415910.60000000003,-653735.7126512363,63785.70226347521,-589950.0103877612
415910.7,-653946.5300693865,64204.734070805825,-589741.7959985806
