,Cluster,Num_Constituents,Total_Mass,Total_Charge,Sum_Radii
345,Frame22_Cluster9,105,105000,0,78.75
346,Frame22_Cluster10,79,79000,-15,59.25
347,Frame22_Cluster11,75,75000,-6,56.25
348,Frame22_Cluster12,69,69000,9,51.75
349,Frame22_Cluster13,65,65000,9,48.75
350,Frame22_Cluster14,55,55000,-3,41.25
351,Frame22_Cluster15,13,13000,3,9.75
352,Frame23_Cluster0,856,856000,-24,642.0
353,Frame23_Cluster1,634,634000,9,475.5
354,Frame23_Cluster2,484,484000,-27,363.0
355,Frame23_Cluster3,325,325000,36,243.75
356,Frame23_Cluster4,265,265000,12,198.75
357,Frame23_Cluster5,249,249000,6,186.75
358,Frame23_Cluster6,233,233000,-30,174.75
359,Frame23_Cluster7,214,214000,15,160.5
360,Frame23_Cluster8,159,159000,12,119.25
361,Frame23_Cluster9,105,105000,0,78.75
362,Frame23_Cluster10,79,79000,-15,59.25
363,Frame23_Cluster11,75,75000,-6,56.25
364,Frame23_Cluster12,69,69000,9,51.75
365,Frame23_Cluster13,65,65000,9,48.75
366,Frame23_Cluster14,55,55000,-3,41.25
367,Frame23_Cluster15,13,13000,3,9.75
368,Frame24_Cluster0,856,856000,-24,642.0
369,Frame24_Cluster1,634,634000,9,475.5
370,Frame24_Cluster2,484,484000,-27,363.0
371,Frame24_Cluster3,325,325000,36,243.75
372,Frame24_Cluster4,265,265000,12,198.75
373,Frame24_Cluster5,249,249000,6,186.75
374,Frame24_Cluster6,233,233000,-30,174.75
375,Frame24_Cluster7,214,214000,15,160.5
376,Frame24_Cluster8,159,159000,12,119.25
377,Frame24_Cluster9,105,105000,0,78.75
378,Frame24_Cluster10,79,79000,-15,59.25
379,Frame24_Cluster11,75,75000,-6,56.25
380,Frame24_Cluster12,69,69000,9,51.75
381,Frame24_Cluster13,65,65000,9,48.75
382,Frame24_Cluster14,55,55000,-3,41.25
383,Frame24_Cluster15,13,13000,3,9.75
384,Frame25_Cluster0,856,856000,-24,642.0
385,Frame25_Cluster1,634,634000,9,475.5
386,Frame25_Cluster2,484,484000,-27,363.0
387,Frame25_Cluster3,325,325000,36,243.75
388,Frame25_Cluster4,265,265000,12,198.75
389,Frame25_Cluster5,249,249000,6,186.75
390,Frame25_Cluster6,233,233000,-30,174.75
391,Frame25_Cluster7,214,214000,15,160.5
392,Frame25_Cluster8,159,159000,12,119.25
393,Frame25_Cluster9,105,105000,0,78.75
394,Frame25_Cluster10,79,79000,-15,59.25
395,Frame25_Cluster11,75,75000,-6,56.25
396,Frame25_Cluster12,69,69000,9,51.75
397,Frame25_Cluster13,65,65000,9,48.75
398,Frame25_Cluster14,55,55000,-3,41.25
399,Frame25_Cluster15,13,13000,3,9.75
400,Frame26_Cluster0,856,856000,-24,642.0
401,Frame26_Cluster1,634,634000,9,475.5
402,Frame26_Cluster2,484,484000,-27,363.0
403,Frame26_Cluster3,325,325000,36,243.75
404,Frame26_Cluster4,265,265000,12,198.75
405,Frame26_Cluster5,249,249000,6,186.75
406,Frame26_Cluster6,233,233000,-30,174.75
407,Frame26_Cluster7,214,214000,15,160.5
408,Frame26_Cluster8,159,159000,12,119.25
409,Frame26_Cluster9,105,105000,0,78.75
410,Frame26_Cluster10,79,79000,-15,59.25
411,Frame26_Cluster11,75,75000,-6,56.25
412,Frame26_Cluster12,69,69000,9,51.75
413,Frame26_Cluster13,65,65000,9,48.75
414,Frame26_Cluster14,55,55000,-3,41.25
